104,292,205,27,221,43
104,292,205,27,221,324
104,292,205,27,135,323
104,292,205,27,222,44
104,292,205,27,136,324
104,292,205,32
104,292,205,310,133,324
104,292,205,310,136,324
104,292,205,310
104,292,205,33
104,292,205,311
104,292,205,34
104,292,205,312
104,292,205,35
104,292,205,313
104,292,205,36
104,292,119,307,135,323
104,292,119,307,222,44
104,292,119,307,136,324
104,292,119,312
104,292,119,35
104,292,119,313
104,292,119,36
104,292,119,314
104,292,206,28,222,44
104,292,206,28,136,324
104,292,206,33
104,292,206,311
104,292,206,34
104,292,206,312
104,292,206,35
104,292,206,313
104,292,206,36
104,292,120,308,136,324
104,292,120,313
104,292,120,36
104,292,120,314
104,292,207,32
104,292,207,310,133,324
104,292,207,310,136,324
104,292,207,310
104,292,207,33
104,292,207,311
104,292,207,34
104,292,207,312
104,292,207,35
104,292,207,313
104,292,207,36
104,292,121,309,135,323
104,292,121,309,222,44
104,292,121,309,136,324
104,292,121,312
104,292,121,35
104,292,121,313
104,292,121,36
104,292,121,314
104,292,208,33
104,292,208,311
104,292,208,34
104,292,208,312
104,292,208,35
104,292,208,313
104,292,208,36
104,292,122,310,136,324
104,292,122,313
104,292,122,36
104,292,122,314
104,292,209,34
104,292,209,312
104,292,209,35
104,292,209,313
104,292,209,36
104,292,123,314
104,292,210,32
104,292,210,35
104,292,210,313
104,292,210,36
104,292,124,312
104,292,124,314
104,292,211,33
104,292,211,36
104,292,125,313
104,292,212,34
104,292,213,35
104,292,214,36
104,18,212,34
104,18,212,314
104,18,213,35
104,18,214,36
104,18,127,315
104,296,124,312
104,296,124,314
104,296,211,33
104,296,211,36
104,296,125,313
104,296,212,34
104,296,213,35
104,296,214,36
104,19,213,35
104,19,214,36
104,19,127,315
104,297,125,313
104,297,212,34
104,297,213,35
104,297,214,36
104,20,212,34
104,20,212,314
104,20,213,35
104,20,214,36
104,20,127,315
104,298,124,312
104,298,124,314
104,298,211,33
104,298,211,36
104,298,125,313
104,298,212,34
104,298,213,35
104,298,214,36
104,21,213,35
104,21,214,36
104,21,127,315
104,299,125,313
104,299,212,34
104,299,213,35
104,299,214,36
104,22,214,36
104,22,127,315
104,300,213,35
104,300,214,36
104,301,214,36
9,198,25,214,38,227
9,198,25,214,316,139
9,198,25,214,317,140
9,198,25,214,39,228
9,198,25,216
9,198,25,130
9,198,25,217
9,198,25,131
9,198,25,218
9,198,25,132
9,198,25,219
9,198,25,133
9,198,25,220
9,198,303,216
9,198,303,130
9,198,303,217
9,198,303,131
9,198,303,218
9,198,26,218
9,198,26,132
9,198,26,219
9,198,26,133
9,198,26,220
9,198,304,217
9,198,304,131
9,198,304,218
9,198,27,216
9,198,27,219
9,198,27,133
9,198,27,220
9,198,305,128
9,198,305,218
9,198,28,217
9,198,28,220
9,198,306,129
9,198,29,218
9,198,307,130
9,198,30,219
9,198,308,131
9,114,29,218
9,114,29,221
9,114,307,130
9,114,307,133
9,114,30,219
9,114,308,131
9,114,309,132
9,114,32,221
9,114,310,133
9,201,27,216
9,201,27,219
9,201,27,133
9,201,27,220
9,201,305,128
9,201,305,218
9,201,28,217
9,201,28,220
9,201,306,129
9,201,29,218
9,201,307,130
9,201,30,219
9,201,308,131
9,202,28,217
9,202,28,220
9,202,306,129
9,202,29,218
9,202,307,130
9,202,30,219
9,202,308,131
9,115,29,218
9,115,29,221
9,115,307,130
9,115,307,133
9,115,30,219
9,115,308,131
9,115,309,132
9,115,32,221
9,115,310,133
9,203,27,216
9,203,27,219
9,203,27,133
9,203,27,220
9,203,305,128
9,203,305,218
9,203,28,217
9,203,28,220
9,203,306,129
9,203,29,218
9,203,307,130
9,203,30,219
9,203,308,131
9,116,30,219
9,116,308,131
9,116,309,132
9,116,32,221
9,116,310,133
9,117,309,132
9,117,32,221
9,117,310,133
9,204,29,218
9,204,307,130
9,204,30,219
9,204,308,131
