Rake Num,Start Stn,Start Time,End Stn,End Time,Duty Num
706,IPE,18:14,PBGW UP,19:14,229
706,PBGW UP,19:14,MKPR,19:29,433
706,MKPR,19:30,KKDA UP,20:07,433
706,KKDA UP,20:07,IPE,20:14,240
706,IPE,20:14,PBGW UP,21:14,240
706,PBGW UP,21:14,MKPR,21:29,234
706,MKPR,21:30,KKDA UP,22:07,234
706,KKDA UP,22:07,IPE,22:14,234
706,IPE,22:14,PBGW UP,23:14,234
706,PBGW UP,23:14,MKPR,23:29,234
 , , , , , 
707,MVPO DN,05:15,IPE,06:15,402
707,IPE,06:15,KKDA DN,06:21,402
707,KKDA DN,06:21,MKPR,06:59,412
707,MKPR,07:01,PBGW DN,07:15,412
707,PBGW DN,07:15,IPE,08:14,412
707,IPE,08:14,KKDA DN,08:21,412
707,KKDA DN,08:21,MKPR,08:59,417
707,MKPR,09:00,PBGW DN,09:14,417
707,PBGW DN,09:14,IPE,10:13,417
707,IPE,10:13,KKDA DN,10:20,417
707,KKDA DN,10:20,MKPR,10:58,415
707,MKPR,10:58,PBGW DN,11:13,415
707,PBGW DN,11:13,IPE,12:12,216
707,IPE,12:12,KKDA DN,12:19,216
707,KKDA DN,12:19,MKPR,12:56,216
707,MKPR,12:57,PBGW DN,13:12,216
707,PBGW DN,13:12,IPE,14:11,225
707,IPE,14:11,KKDA DN,14:17,225
707,KKDA DN,14:17,MKPR,14:55,225
707,MKPR,14:56,PBGW DN,15:10,225
707,PBGW DN,15:10,IPE,16:09,230
707,IPE,16:09,KKDA DN,16:16,230
707,KKDA DN,16:16,MKPR,16:54,230
707,MKPR,16:55,PBGW DN,17:09,230
707,PBGW DN,17:09,IPE,18:08,233
707,IPE,18:08,KKDA DN,18:15,233
707,KKDA DN,18:15,MKPR,18:53,427
707,MKPR,18:53,PBGW DN,19:08,427
707,PBGW DN,19:08,IPE,20:07,427
707,IPE,20:07,KKDA DN,20:14,427
707,KKDA DN,20:14,MKPR,20:51,239
707,MKPR,20:52,PBGW DN,21:07,239
