,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
110,715,KKDA DN,08:01,MKPR,08:39,DN,38
111,724,IPE,08:04,PBGW UP,09:04,UP,60
112,723,IPE,08:04,KKDA DN,08:11,DN,7
113,708,PBGW UP,08:04,MKPR,08:19,UP,15
114,711,PBGW DN,08:05,IPE,09:04,DN,59
115,706,KKDA UP,08:07,IPE,08:14,UP,7
116,713,MKPR,08:10,PBGW DN,08:24,DN,14
117,704,MKPR,08:10,KKDA UP,08:47,UP,37
118,723,KKDA DN,08:11,MKPR,08:49,DN,38
119,714,PBGW UP,08:14,MKPR,08:29,UP,15
120,706,IPE,08:14,PBGW UP,09:14,UP,60
121,703,PBGW DN,08:14,IPE,09:13,DN,59
122,707,IPE,08:14,KKDA DN,08:21,DN,7
123,702,KKDA UP,08:17,IPE,08:24,UP,7
124,719,MKPR,08:20,PBGW DN,08:34,DN,14
125,708,MKPR,08:20,KKDA UP,08:57,UP,37
126,707,KKDA DN,08:21,MKPR,08:59,DN,38
127,702,IPE,08:24,PBGW UP,09:24,UP,60
128,717,IPE,08:24,KKDA DN,08:31,DN,7
129,713,PBGW DN,08:24,IPE,09:23,DN,59
130,716,PBGW UP,08:24,MKPR,08:39,UP,15
131,710,KKDA UP,08:27,IPE,08:34,UP,7
132,721,MKPR,08:30,PBGW DN,08:44,DN,14
133,714,MKPR,08:30,KKDA UP,09:07,UP,37
134,717,KKDA DN,08:31,MKPR,09:09,DN,38
135,718,PBGW UP,08:34,MKPR,08:49,UP,15
136,705,IPE,08:34,KKDA DN,08:41,DN,7
137,710,IPE,08:34,PBGW UP,09:34,UP,60
138,719,PBGW DN,08:34,IPE,09:33,DN,59
139,712,KKDA UP,08:37,IPE,08:44,UP,7
140,716,MKPR,08:40,KKDA UP,09:17,UP,37
141,715,MKPR,08:40,PBGW DN,08:54,DN,14
142,705,KKDA DN,08:41,MKPR,09:19,DN,38
143,720,PBGW UP,08:44,MKPR,08:59,UP,15
144,712,IPE,08:44,PBGW UP,09:44,UP,60
145,721,PBGW DN,08:44,IPE,09:43,DN,59
146,701,IPE,08:44,KKDA DN,08:51,DN,7
147,704,KKDA UP,08:47,IPE,08:54,UP,7
