,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
119,723,KKDA DN,10:10,MKPR,10:48,DN,38
152,703,PBGW DN,10:13,IPE,11:12,DN,59
123,707,IPE,10:13,KKDA DN,10:20,DN,7
161,719,MKPR,10:18,PBGW DN,10:33,DN,15
124,707,KKDA DN,10:20,MKPR,10:58,DN,38
128,717,IPE,10:23,KKDA DN,10:30,DN,7
157,713,PBGW DN,10:23,IPE,11:22,DN,59
166,721,MKPR,10:28,PBGW DN,10:43,DN,15
129,717,KKDA DN,10:30,MKPR,11:08,DN,38
133,705,IPE,10:33,KKDA DN,10:40,DN,7
162,719,PBGW DN,10:33,IPE,11:32,DN,59
171,715,MKPR,10:38,PBGW DN,10:53,DN,15
134,705,KKDA DN,10:40,MKPR,11:18,DN,38
167,721,PBGW DN,10:43,IPE,11:42,DN,59
138,701,IPE,10:43,KKDA DN,10:50,DN,7
176,723,MKPR,10:48,PBGW DN,11:03,DN,15
139,701,KKDA DN,10:50,MKPR,11:28,DN,38
172,715,PBGW DN,10:53,IPE,11:52,DN,59
143,709,IPE,10:53,KKDA DN,11:00,DN,7
181,707,MKPR,10:58,PBGW DN,11:13,DN,15
144,709,KKDA DN,11:00,MKPR,11:38,DN,38
148,711,IPE,11:03,KKDA DN,11:10,DN,7
177,723,PBGW DN,11:03,IPE,12:02,DN,59
186,717,MKPR,11:08,PBGW DN,11:23,DN,15
149,711,KKDA DN,11:10,MKPR,11:48,DN,38
153,703,IPE,11:12,KKDA DN,11:19,DN,7
182,707,PBGW DN,11:13,IPE,12:12,DN,59
191,705,MKPR,11:18,PBGW DN,11:33,DN,15
154,703,KKDA DN,11:19,MKPR,11:56,DN,37
158,713,IPE,11:22,KKDA DN,11:29,DN,7
187,717,PBGW DN,11:23,IPE,12:22,DN,59
196,701,MKPR,11:28,PBGW DN,11:43,DN,15
159,713,KKDA DN,11:29,MKPR,12:06,DN,37
163,719,IPE,11:32,KKDA DN,11:39,DN,7
192,705,PBGW DN,11:33,IPE,12:32,DN,59
201,709,MKPR,11:38,PBGW DN,11:53,DN,15
164,719,KKDA DN,11:39,MKPR,12:16,DN,37
168,721,IPE,11:42,KKDA DN,11:49,DN,7
197,701,PBGW DN,11:43,IPE,12:42,DN,59
206,711,MKPR,11:48,PBGW DN,12:03,DN,15
169,721,KKDA DN,11:49,MKPR,12:26,DN,37
173,715,IPE,11:52,KKDA DN,11:59,DN,7
202,709,PBGW DN,11:53,IPE,12:52,DN,59
211,703,MKPR,11:57,PBGW DN,12:12,DN,15
174,715,KKDA DN,11:59,MKPR,12:36,DN,37
178,723,IPE,12:02,KKDA DN,12:09,DN,7
207,711,PBGW DN,12:03,IPE,13:02,DN,59
216,713,MKPR,12:07,PBGW DN,12:22,DN,15
179,723,KKDA DN,12:09,MKPR,12:46,DN,37
183,707,IPE,12:12,KKDA DN,12:19,DN,7
212,703,PBGW DN,12:12,IPE,13:11,DN,59
221,719,MKPR,12:17,PBGW DN,12:32,DN,15
184,707,KKDA DN,12:19,MKPR,12:56,DN,37
217,713,PBGW DN,12:22,IPE,13:21,DN,59
188,717,IPE,12:22,KKDA DN,12:29,DN,7
226,721,MKPR,12:27,PBGW DN,12:42,DN,15
189,717,KKDA DN,12:29,MKPR,13:06,DN,37
193,705,IPE,12:32,KKDA DN,12:39,DN,7
222,719,PBGW DN,12:32,IPE,13:31,DN,59
231,715,MKPR,12:37,PBGW DN,12:52,DN,15
194,705,KKDA DN,12:39,MKPR,13:16,DN,37
198,701,IPE,12:42,KKDA DN,12:49,DN,7
227,721,PBGW DN,12:42,IPE,13:41,DN,59
236,723,MKPR,12:47,PBGW DN,13:02,DN,15
199,701,KKDA DN,12:49,MKPR,13:26,DN,37
203,709,IPE,12:52,KKDA DN,12:59,DN,7
232,715,PBGW DN,12:52,IPE,13:51,DN,59
241,707,MKPR,12:57,PBGW DN,13:12,DN,15
204,709,KKDA DN,12:59,MKPR,13:36,DN,37
208,711,IPE,13:02,KKDA DN,13:09,DN,7
237,723,PBGW DN,13:02,IPE,14:01,DN,59
246,717,MKPR,13:07,PBGW DN,13:22,DN,15
209,711,KKDA DN,13:09,MKPR,13:46,DN,37
213,703,IPE,13:11,KKDA DN,13:17,DN,6
242,707,PBGW DN,13:12,IPE,14:11,DN,59
251,705,MKPR,13:17,PBGW DN,13:32,DN,15
214,703,KKDA DN,13:17,MKPR,13:55,DN,38
218,713,IPE,13:21,KKDA DN,13:27,DN,6
247,717,PBGW DN,13:22,IPE,14:21,DN,59
256,701,MKPR,13:27,PBGW DN,13:42,DN,15
219,713,KKDA DN,13:27,MKPR,14:05,DN,38
223,719,IPE,13:31,KKDA DN,13:37,DN,6
252,705,PBGW DN,13:32,IPE,14:31,DN,59
261,709,MKPR,13:37,PBGW DN,13:52,DN,15
224,719,KKDA DN,13:37,MKPR,14:15,DN,38
228,721,IPE,13:41,KKDA DN,13:47,DN,6
257,701,PBGW DN,13:42,IPE,14:41,DN,59
229,721,KKDA DN,13:47,MKPR,14:25,DN,38
266,711,MKPR,13:47,PBGW DN,14:02,DN,15
233,715,IPE,13:51,KKDA DN,13:57,DN,6
262,709,PBGW DN,13:52,IPE,14:51,DN,59
271,703,MKPR,13:56,PBGW DN,14:10,DN,14
234,715,KKDA DN,13:57,MKPR,14:35,DN,38
238,723,IPE,14:01,KKDA DN,14:07,DN,6
267,711,PBGW DN,14:02,IPE,15:01,DN,59
276,713,MKPR,14:06,PBGW DN,14:20,DN,14
239,723,KKDA DN,14:07,MKPR,14:45,DN,38
272,703,PBGW DN,14:10,IPE,15:09,DN,59
243,707,IPE,14:11,KKDA DN,14:17,DN,6
281,719,MKPR,14:16,PBGW DN,14:30,DN,14
244,707,KKDA DN,14:17,MKPR,14:55,DN,38
277,713,PBGW DN,14:20,IPE,15:19,DN,59
248,717,IPE,14:21,KKDA DN,14:27,DN,6
286,721,MKPR,14:26,PBGW DN,14:40,DN,14
