,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
140,710,KKDA UP,10:27,IPE,10:34,UP,7
159,714,MKPR,10:30,KKDA UP,11:07,UP,37
112,718,PBGW UP,10:34,MKPR,10:49,UP,15
141,710,IPE,10:34,PBGW UP,11:34,UP,60
145,712,KKDA UP,10:37,IPE,10:44,UP,7
164,716,MKPR,10:40,KKDA UP,11:17,UP,37
117,720,PBGW UP,10:44,MKPR,10:59,UP,15
146,712,IPE,10:44,PBGW UP,11:44,UP,60
150,704,KKDA UP,10:47,IPE,10:54,UP,7
169,718,MKPR,10:50,KKDA UP,11:27,UP,37
122,722,PBGW UP,10:54,MKPR,11:09,UP,15
151,704,IPE,10:54,PBGW UP,11:54,UP,60
155,708,KKDA UP,10:57,IPE,11:04,UP,7
174,720,MKPR,11:00,KKDA UP,11:37,UP,37
156,708,IPE,11:04,PBGW UP,12:04,UP,60
127,724,PBGW UP,11:04,MKPR,11:19,UP,15
160,714,KKDA UP,11:07,IPE,11:14,UP,7
179,722,MKPR,11:10,KKDA UP,11:47,UP,37
132,706,PBGW UP,11:14,MKPR,11:29,UP,15
161,714,IPE,11:14,PBGW UP,12:14,UP,60
165,716,KKDA UP,11:17,IPE,11:24,UP,7
184,724,MKPR,11:20,KKDA UP,11:57,UP,37
166,716,IPE,11:24,PBGW UP,12:24,UP,60
137,702,PBGW UP,11:24,MKPR,11:39,UP,15
170,718,KKDA UP,11:27,IPE,11:34,UP,7
189,706,MKPR,11:30,KKDA UP,12:07,UP,37
142,710,PBGW UP,11:34,MKPR,11:49,UP,15
171,718,IPE,11:34,PBGW UP,12:34,UP,60
175,720,KKDA UP,11:37,IPE,11:44,UP,7
194,702,MKPR,11:40,KKDA UP,12:17,UP,37
147,712,PBGW UP,11:44,MKPR,11:59,UP,15
176,720,IPE,11:44,PBGW UP,12:44,UP,60
180,722,KKDA UP,11:47,IPE,11:54,UP,7
199,710,MKPR,11:50,KKDA UP,12:27,UP,37
152,704,PBGW UP,11:54,MKPR,12:09,UP,15
181,722,IPE,11:54,PBGW UP,12:54,UP,60
185,724,KKDA UP,11:57,IPE,12:04,UP,7
204,712,MKPR,12:00,KKDA UP,12:37,UP,37
186,724,IPE,12:04,PBGW UP,13:04,UP,60
157,708,PBGW UP,12:04,MKPR,12:19,UP,15
190,706,KKDA UP,12:07,IPE,12:14,UP,7
209,704,MKPR,12:10,KKDA UP,12:47,UP,37
