,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
279,723,KKDA DN,06:06,PBGW DN,07:05,DN,59,no,No StepBack,No StepBack,26,56
379,713,MKPR,06:11,PBGW DN,06:25,DN,14,yes,No StepBack,No StepBack,28,None
96,703,PBGW DN,06:14,KKDA DN,07:20,DN,66,no,No StepBack,No StepBack,29,72
1,702,KKDA UP,06:15,PBGW UP,07:21,UP,66,no,No StepBack,No StepBack,31,35
280,707,KKDA DN,06:21,PBGW DN,07:15,DN,54,no,No StepBack,No StepBack,33,63
2,710,KKDA UP,06:25,PBGW UP,07:31,UP,66,no,No StepBack,No StepBack,37,40
97,713,PBGW DN,06:25,KKDA DN,07:31,DN,66,no,No StepBack,No StepBack,36,81
380,714,MKPR,06:30,KKDA UP,07:07,UP,37,no,No StepBack,No StepBack,38,None
98,719,PBGW DN,06:35,KKDA DN,07:41,DN,66,no,No StepBack,No StepBack,42,88
3,712,KKDA UP,06:37,PBGW UP,07:44,UP,67,no,No StepBack,No StepBack,43,49
186,720,PBGW UP,06:38,KKDA UP,07:37,UP,59,no,No StepBack,No StepBack,44,62
381,716,MKPR,06:40,KKDA UP,07:17,UP,37,no,No StepBack,No StepBack,46,None
382,715,MKPR,06:41,PBGW DN,06:55,DN,14,yes,No StepBack,No StepBack,48,None
99,721,PBGW DN,06:45,KKDA DN,07:51,DN,66,no,No StepBack,No StepBack,50,96
281,701,KKDA DN,06:47,PBGW DN,07:45,DN,58,no,No StepBack,No StepBack,51,85
187,722,PBGW UP,06:49,KKDA UP,07:47,UP,58,no,No StepBack,No StepBack,53,69
383,718,MKPR,06:50,KKDA UP,07:27,UP,37,no,No StepBack,No StepBack,55,None
100,715,PBGW DN,06:55,KKDA DN,08:01,DN,66,no,No StepBack,No StepBack,58,103
282,709,KKDA DN,06:57,PBGW DN,07:55,DN,58,no,No StepBack,No StepBack,59,93
4,708,KKDA UP,06:57,PBGW UP,08:04,UP,67,no,No StepBack,No StepBack,60,65
188,724,PBGW UP,06:59,KKDA UP,07:57,UP,58,no,No StepBack,No StepBack,61,76
101,723,PBGW DN,07:05,KKDA DN,08:11,DN,66,no,No StepBack,No StepBack,66,112
5,714,KKDA UP,07:07,PBGW UP,08:14,UP,67,no,No StepBack,No StepBack,67,73
283,711,KKDA DN,07:09,PBGW DN,08:05,DN,56,no,No StepBack,No StepBack,68,102
189,706,PBGW UP,07:10,KKDA UP,08:07,UP,57,no,No StepBack,No StepBack,70,84
384,717,MKPR,07:11,PBGW DN,07:25,DN,14,yes,No StepBack,No StepBack,71,None
102,707,PBGW DN,07:15,KKDA DN,08:21,DN,66,no,No StepBack,No StepBack,74,122
6,716,KKDA UP,07:17,PBGW UP,08:24,UP,67,no,No StepBack,No StepBack,75,80
284,703,KKDA DN,07:20,PBGW DN,08:14,DN,54,no,No StepBack,No StepBack,77,108
190,702,PBGW UP,07:21,KKDA UP,08:17,UP,56,no,No StepBack,No StepBack,78,92
103,717,PBGW DN,07:25,KKDA DN,08:31,DN,66,no,No StepBack,No StepBack,82,128
7,718,KKDA UP,07:27,PBGW UP,08:34,UP,67,no,No StepBack,No StepBack,83,89
191,710,PBGW UP,07:31,KKDA UP,08:27,UP,56,no,No StepBack,No StepBack,86,100
285,713,KKDA DN,07:31,PBGW DN,08:24,DN,53,no,No StepBack,No StepBack,87,116
